genus,age,latitude
spisula,Modern,37.906373
spisula,Modern,39.853386
spisula,Modern,40.428167
spisula,Modern,33.913263
spisula,Modern,39.162325
spisula,Modern,35.210788
spisula,Modern,40.43122
spisula,Modern,39.32622
spisula,Modern,29.73215
spisula,Modern,37.911194
spisula,Modern,26.211498
spisula,Modern,40.4727
spisula,Modern,39.951365
spisula,Modern,39.351025
spisula,Modern,38.748673
spisula,Modern,38.950849
spisula,Modern,40.146727
spisula,Modern,39.01518
spisula,Modern,40.447088
spisula,Modern,38.799301
spisula,Modern,39.320248
spisula,Modern,35.339473
spisula,Modern,36.668024
spisula,Modern,39.364811
spisula,Modern,38.607917
spisula,Modern,38.211033
spisula,Modern,38.609204
spisula,Modern,27.253886
spisula,Modern,29.896037
spisula,Modern,36.078288
spisula,Modern,38.601753
spisula,Modern,26.435963
spisula,Modern,40.154558
spisula,Modern,39.062001
spisula,Modern,40.401411
spisula,Modern,38.9481
spisula,Modern,29.735241
spisula,Modern,39.723659
spisula,Modern,38.720663
spisula,Modern,27.695686
spisula,Modern,26.436211
spisula,Modern,39.355642
spisula,Modern,36.031326
spisula,Modern,38.504988
spisula,Modern,28.069206
spisula,Modern,29.713794
spisula,Modern,26.436351
spisula,Modern,40.313641
spisula,Modern,26.442182
spisula,Modern,37.0567
spisula,Modern,37.0567
spisula,Modern,29.0129
spisula,Modern,27.32273
spisula,Modern,30.670342
spisula,Modern,26.09726
spisula,Modern,27.69763
spisula,Modern,26.52813
spisula,Modern,26.43711
spisula,Modern,26.09726
spisula,Modern,27.11342
spisula,Modern,26.43711
spisula,Modern,26.43711
spisula,Modern,40.12611
spisula,Modern,30.85083
spisula,Modern,32.79
spisula,Modern,36.38
spisula,Modern,39.28
spisula,Modern,31.44
spisula,Modern,34.72
spisula,Modern,39.36
spisula,Modern,36.01
spisula,Modern,39.36
spisula,Modern,33.82
spisula,Modern,38.94
spisula,Modern,38.9917
spisula,Modern,30.42
spisula,Modern,35.22
spisula,Modern,39.1
spisula,Modern,25.87
spisula,Modern,39.36
spisula,Modern,39.36
spisula,Modern,39.28
spisula,Modern,38.94
spisula,Modern,39.28
spisula,Modern,38.94
spisula,Modern,35.13
spisula,Modern,27.443
spisula,Modern,30.6677
spisula,Modern,26.44
spisula,Modern,39.364
spisula,Modern,38.987
spisula,Modern,27.443
spisula,Modern,38.430372
spisula,Modern,39.379585
spisula,Modern,26.074675
spisula,Modern,26.43711
spisula,Modern,27.69763
spisula,Modern,24.8238
spisula,Modern,34.6969
spisula,Modern,30.670342
spisula,Modern,29.0129
spisula,Modern,27.79585
spisula,Modern,26.445829
spisula,Modern,32.0
spisula,Modern,26.683333
spisula,Modern,26.35
spisula,Modern,39.36169
spisula,Modern,28.110749
spisula,Modern,36.168273
spisula,Modern,27.876801
spisula,Modern,27.724453
spisula,Modern,40.058324
