genus,age,latitude
astarte,Pleistocene,34.287777
cyclocardia,Pleistocene,34.287777
chama,Pleistocene,34.287777
modiolus,Pleistocene,36.049999
parvilucina,Pleistocene,36.049999
crepidula,Pleistocene,36.049999
crepidula,Pleistocene,36.049999
astarte,Pleistocene,36.049999
noetia,Pleistocene,36.049999
cyclocardia,Pleistocene,36.049999
chesapecten,Pleistocene,37.171665
chama,Pleistocene,37.171665
cyclocardia,Pleistocene,37.514442
astarte,Pleistocene,37.514442
parvilucina,Pleistocene,26.769722
mulinia,Pleistocene,26.699167
mulinia,Pleistocene,26.692499
noetia,Pleistocene,26.692499
parvilucina,Pleistocene,26.343611
parvilucina,Pleistocene,26.343611
noetia,Pleistocene,34.562222
mulinia,Pleistocene,34.562222
crepidula,Pleistocene,34.562222
mulinia,Pleistocene,34.896667
astarte,Pleistocene,34.896667
cyclocardia,Pleistocene,34.896667
noetia,Pleistocene,34.896667
mulinia,Pleistocene,34.896667
cyclocardia,Pleistocene,34.896667
noetia,Pleistocene,34.896667
astarte,Pleistocene,34.896667
crepidula,Pleistocene,34.896667
crepidula,Pleistocene,34.896667
striarca,Pleistocene,37.26889
noetia,Pleistocene,37.26889
chesapecten,Pleistocene,37.26889
astarte,Pleistocene,37.26889
astarte,Pleistocene,37.26889
chama,Pleistocene,37.26889
cyclocardia,Pleistocene,37.26889
chesapecten,Pleistocene,37.26889
cyclocardia,Pleistocene,37.26889
astarte,Pleistocene,37.233891
astarte,Pleistocene,37.233891
chesapecten,Pleistocene,37.233891
crepidula,Pleistocene,37.233891
crepidula,Pleistocene,37.233891
noetia,Pleistocene,37.233891
spisula,Pleistocene,37.233891
spisula,Pleistocene,37.233891
mulinia,Pleistocene,37.233891
cyclocardia,Pleistocene,37.233891
chama,Pleistocene,37.233891
striarca,Pleistocene,37.233891
noetia,Pleistocene,37.233891
spisula,Pleistocene,37.233891
cyclocardia,Pleistocene,37.233891
parvilucina,Pleistocene,37.233891
chama,Pleistocene,37.233891
mulinia,Pleistocene,37.233891
astarte,Pleistocene,37.233891
astarte,Pleistocene,37.233891
crepidula,Pleistocene,37.233891
crepidula,Pleistocene,37.233891
cyclocardia,Pleistocene,37.233891
chesapecten,Pleistocene,37.233891
cyclocardia,Pleistocene,37.233891
parvilucina,Pleistocene,37.233891
astarte,Pleistocene,37.233891
astarte,Pleistocene,37.233891
chesapecten,Pleistocene,37.233891
crepidula,Pleistocene,37.233891
mulinia,Pleistocene,37.233891
spisula,Pleistocene,37.233891
noetia,Pleistocene,37.233891
crepidula,Pleistocene,37.233891
crepidula,Pleistocene,37.233891
noetia,Pleistocene,37.233891
parvilucina,Pleistocene,37.233891
modiolus,Pleistocene,37.233891
astarte,Pleistocene,37.233891
chesapecten,Pleistocene,37.233891
crepidula,Pleistocene,37.233891
crepidula,Pleistocene,37.233891
noetia,Pleistocene,37.233891
spisula,Pleistocene,37.233891
cyclocardia,Pleistocene,37.233891
chama,Pleistocene,37.233891
parvilucina,Pleistocene,37.233891
astarte,Pleistocene,37.233891
crepidula,Pleistocene,37.233891
crepidula,Pleistocene,37.233891
striarca,Pleistocene,37.233891
noetia,Pleistocene,37.233891
parvilucina,Pleistocene,37.233891
crepidula,Pleistocene,37.233891
crepidula,Pleistocene,37.233891
striarca,Pleistocene,37.233891
noetia,Pleistocene,37.233891
cyclocardia,Pleistocene,37.233891
parvilucina,Pleistocene,37.233891
astarte,Pleistocene,37.233891
astarte,Pleistocene,37.233891
chesapecten,Pleistocene,37.233891
crepidula,Pleistocene,37.233891
striarca,Pleistocene,37.233891
spisula,Pleistocene,37.233891
chesapecten,Pleistocene,37.233891
astarte,Pleistocene,37.233891
astarte,Pleistocene,37.233891
parvilucina,Pleistocene,37.233891
cyclocardia,Pleistocene,37.233891
noetia,Pleistocene,27.770832
astarte,Pleistocene,27.770832
chama,Pleistocene,27.770832
chama,Pleistocene,27.770832
parvilucina,Pleistocene,27.770832
mulinia,Pleistocene,26.754168
mulinia,Pleistocene,26.799999
mulinia,Pleistocene,27.770832
mulinia,Pleistocene,27.770832
mulinia,Pleistocene,27.770832
mulinia,Pleistocene,27.770832
mulinia,Pleistocene,34.896667
astarte,Pleistocene,34.896667
cyclocardia,Pleistocene,34.896667
mulinia,Pleistocene,34.896667
crepidula,Pleistocene,34.896667
astarte,Pleistocene,34.896667
spisula,Pleistocene,34.896667
cyclocardia,Pleistocene,34.896667
mulinia,Pleistocene,34.896667
astarte,Pleistocene,34.896667
cyclocardia,Pleistocene,34.896667
cyclocardia,Pleistocene,34.325832
crepidula,Pleistocene,34.325832
astarte,Pleistocene,34.325832
crepidula,Pleistocene,34.325832
astarte,Pleistocene,34.325832
astarte,Pleistocene,26.761667
cyclocardia,Pleistocene,26.761667
mulinia,Pleistocene,27.529444
noetia,Pleistocene,27.529444
noetia,Pleistocene,27.529444
mulinia,Pleistocene,27.529444
noetia,Pleistocene,26.375834
spisula,Pleistocene,25.666945
noetia,Pleistocene,26.375834
mulinia,Pleistocene,27.338057
crepidula,Pleistocene,27.338057
mulinia,Pleistocene,27.338057
crepidula,Pleistocene,26.758888
noetia,Pleistocene,26.920279
mulinia,Pleistocene,26.920279
crepidula,Pleistocene,26.920279
crepidula,Pleistocene,26.920279
chesapecten,Pleistocene,27.327778
astarte,Pleistocene,27.327778
parvilucina,Pleistocene,26.958611
crepidula,Pleistocene,26.958611
chama,Pleistocene,26.754168
mulinia,Pleistocene,26.754168
crepidula,Pleistocene,26.754168
parvilucina,Pleistocene,26.754168
modiolus,Pleistocene,26.929722
parvilucina,Pleistocene,26.929722
mulinia,Pleistocene,26.929722
crepidula,Pleistocene,26.929722
mulinia,Pleistocene,26.73361
mulinia,Pleistocene,26.73361
mulinia,Pleistocene,30.432222
astarte,Pleistocene,30.389168
crepidula,Pleistocene,30.389168
mulinia,Pleistocene,30.389168
noetia,Pleistocene,30.389168
cyclocardia,Pleistocene,30.389168
astarte,Pleistocene,30.389168
cyclocardia,Pleistocene,30.389168
chama,Pleistocene,30.389168
chama,Pleistocene,30.389168
mulinia,Pleistocene,30.389168
noetia,Pleistocene,30.389168
astarte,Pleistocene,30.389168
astarte,Pleistocene,30.389168
modiolus,Pleistocene,30.389168
cyclocardia,Pleistocene,30.389168
crepidula,Pleistocene,30.389168
crepidula,Pleistocene,26.683611
crepidula,Pleistocene,26.683611
chama,Pleistocene,26.683611
noetia,Pleistocene,26.683611
modiolus,Pleistocene,26.683611
chama,Pleistocene,26.683611
mulinia,Pleistocene,26.683611
crepidula,Pleistocene,34.351665
mulinia,Pleistocene,34.351665
cyclocardia,Pleistocene,34.351665
noetia,Pleistocene,34.351665
parvilucina,Pleistocene,34.351665
mulinia,Pleistocene,34.351665
cyclocardia,Pleistocene,34.351665
astarte,Pleistocene,34.351665
crepidula,Pleistocene,34.351665
modiolus,Pleistocene,34.351665
astarte,Pleistocene,34.351665
astarte,Pleistocene,37.232224
mulinia,Pleistocene,37.232224
chesapecten,Pleistocene,37.232224
chesapecten,Pleistocene,37.232224
astarte,Pleistocene,37.232224
crepidula,Pleistocene,37.232224
cyclocardia,Pleistocene,37.232224
cyclocardia,Pleistocene,33.973331
mulinia,Pleistocene,33.973331
noetia,Pleistocene,33.973331
crepidula,Pleistocene,33.973331
crepidula,Pleistocene,33.973331
cyclocardia,Pleistocene,37.148056
astarte,Pleistocene,37.148056
mulinia,Pleistocene,37.148056
striarca,Pleistocene,37.148056
noetia,Pleistocene,37.148056
chesapecten,Pleistocene,37.148056
chesapecten,Pleistocene,37.148056
chesapecten,Pleistocene,37.148056
mulinia,Pleistocene,27.770832
chama,Pleistocene,27.770832
mulinia,Pleistocene,27.770832
crepidula,Pleistocene,27.770832
noetia,Pleistocene,34.168056
astarte,Pleistocene,34.168056
crepidula,Pleistocene,34.168056
crepidula,Pleistocene,34.168056
mulinia,Pleistocene,34.168056
astarte,Pleistocene,34.168056
astarte,Pleistocene,34.168056
mulinia,Pleistocene,34.168056
crepidula,Pleistocene,34.325832
noetia,Pleistocene,34.325832
chesapecten,Pleistocene,34.325832
astarte,Pleistocene,34.325832
crepidula,Pleistocene,34.325832
astarte,Pleistocene,34.325832
crepidula,Pleistocene,27.770832
crepidula,Pleistocene,27.770832
crepidula,Pleistocene,27.770832
crepidula,Pleistocene,27.770832
crepidula,Pleistocene,26.799999
parvilucina,Pleistocene,26.958611
crepidula,Pleistocene,26.958611
crepidula,Pleistocene,26.958611
mulinia,Pleistocene,35.05722
mulinia,Pleistocene,35.05722
mulinia,Pleistocene,35.05722
mulinia,Pleistocene,35.05722
mulinia,Pleistocene,35.05722
mulinia,Pleistocene,34.983891
astarte,Pleistocene,33.628334
cyclocardia,Pleistocene,33.628334
mulinia,Pleistocene,33.628334
cyclocardia,Pleistocene,33.398888
parvilucina,Pleistocene,33.398888
chesapecten,Pleistocene,33.100277
astarte,Pleistocene,33.100277
astarte,Pleistocene,33.100277
cyclocardia,Pleistocene,33.100277
chama,Pleistocene,33.100277
